,match,level,r1,r2,r3,b1,b2,b3,red score,blue score,red rp,blue rp,video
24,9,qm,2854,4159,3482,4904,1351,7137,12,60,0,2,https://www.youtube.com/watch/kR8ejMDVkvI
25,10,qm,254,8793,199,6918,8404,841,107,38,4,0,https://www.youtube.com/watch/HnTlF9_rm4Y
26,11,qm,8048,3045,2035,4091,6418,971,41,92,0,4,https://www.youtube.com/watch/wMFjF2arcPE
27,12,qm,1072,1967,6814,4990,5419,840,61,64,1,3,https://www.youtube.com/watch/p3DkwH2-paw
28,13,qm,701,4255,7415,604,4171,2643,78,77,4,2,https://www.youtube.com/watch/-eB9GO2nz8s
29,14,qm,5027,2489,972,649,766,668,57,66,0,3,https://www.youtube.com/watch/-d6qpr-AWZI
30,15,qm,7413,4159,670,4669,5507,4186,34,76,0,3,https://www.youtube.com/watch/LyhvZwdgg3E
31,16,qm,3482,2367,5171,2854,8404,199,59,48,3,0,https://www.youtube.com/watch/Ot7_JR2XjRM
32,17,qm,581,2144,841,192,299,4904,45,38,2,0,https://www.youtube.com/watch/yEdKiODq6zA
33,18,qm,6884,7137,8793,7777,5458,852,45,27,2,0,https://www.youtube.com/watch/FJpaQubE2QU
34,19,qm,6238,7419,1678,4973,1351,8033,122,60,4,1,https://www.youtube.com/watch/TSKtY0z3BsA
35,20,qm,751,2141,4990,972,8262,254,29,130,0,4,https://www.youtube.com/watch/2l93Z-CffW4
36,21,qm,4669,2035,4171,5507,5419,6918,28,82,0,4,https://www.youtube.com/watch/snHt8S15m-Y
37,22,qm,4186,668,2854,6814,7415,8404,58,36,2,0,https://www.youtube.com/watch/ETlFZRtUEYU
38,23,qm,2489,2144,840,3045,4255,4159,31,32,0,2,https://www.youtube.com/watch/Mga60JcYLME
39,24,qm,4091,199,192,5027,2643,852,44,28,3,0,https://www.youtube.com/watch/lcX6YQYQyOY
40,25,qm,841,5458,8048,1351,5171,604,47,104,1,4,https://www.youtube.com/watch/l4zx-H_LlSo
41,26,qm,670,649,4973,299,8033,751,57,60,1,3,https://www.youtube.com/watch/x3slLFp6efo
42,27,qm,1072,6238,7137,2141,701,581,89,12,4,0,https://www.youtube.com/watch/qerBXG9nHkE
43,28,qm,2367,8262,7777,7413,766,4904,24,33,0,2,https://www.youtube.com/watch/6fNqD0IA44c
44,29,qm,1967,1678,971,6418,3482,8793,143,30,4,0,https://www.youtube.com/watch/PKUM-5-DJJQ
