,match,team,"team color","mobility","ground pick-up",locations,"game piece","auto count","auto climb","end climb","climb time","break time","defense time","drive skill","defense skill",speed,stability,"intake consistency",scouter,comments
301,53,973,red,TRUE,TRUE,"[1, 4, 5, 24, 25, 6, 26, 27, 32, 22]","['y', 'y', 'b', 'b', 'b', 'y', 'b', 'b', 'b', 'b']",1,2,2,2,0,0,4,0,4,4,4,"26mihirk (1072)","Very good as expected. "
302,53,9274,red,FALSE,TRUE,"[9]","['y']",1,0,0,31,0,32,1,1,3,2,0,"26alberty (1072)","- rlly confused abt this one\n- weird defense, didn't rlly help\n- took way too long to get in rack, made it hard for other teams as well\n- definitely not good for climb btw \n- no appearant scoring functions "
303,54,2288,blue,FALSE,FALSE,"[2, 12]","['b', 'y']",0,0,0,25,5,0,0,0,0,0,0,"abbie s. (1072)",""
304,54,1422,blue,FALSE,FALSE,"[5]","['b']",1,0,1,0,0,0,2,0,2,2,0,"25agastyar (1072)","No intake."
305,54,840,blue,TRUE,FALSE,"[8, 7]","['b', 'y']",1,0,0,0,59,0,2,0,4,2,1,"25atharvg (1072)","stopped too quickly and fell over "
306,54,8546,red,FALSE,FALSE,"[13, 15, 16]","['y', 'y', 'm']",0,0,2,13,0,0,2,1,4,2,3,"25giae (1072)","fell off the charge station but managed to get back on and level in time"
307,54,6657,red,TRUE,FALSE,"[11, 17]","['b', 'b']",1,0,0,0,0,0,2,0,2,3,0,"26mihirk (1072)","Weak grasp on all objects. No visible upside."
308,54,3189,red,FALSE,FALSE,"[20, 21, 19, 22]","['b', 'b', 'b', 'b']",0,2,2,19,0,0,0,0,1,2,0,"26alberty (1072)","- pretty bad ground intake, super delayed\n- ground placement also slow, ineffective; cube BOUNCES--can be problematic \n- mid climb"
309,55,6822,blue,FALSE,FALSE,"[]","[]",0,0,0,0,130,0,0,0,0,0,0,"25atharvg (1072)","bricked the entire time"
310,55,2551,red,TRUE,FALSE,"[4, 3, 22, 24]","['y', 'y', 'y', 'y']",0,1,2,15,0,0,3,2,3,2,3,"25giae (1072)",""
311,55,7419,blue,TRUE,FALSE,"[]","[]",0,0,2,0,0,0,2,0,1,0,0,"25agastyar (1072)","No intake"
312,55,3970,blue,FALSE,FALSE,"[24, 32, 14, 3, 13, 12, 4]","['y', 'b', 'b', 'b', 'y', 'y', 'b']",1,2,2,3,0,0,0,0,0,0,0,"abbie s. (1072)",""
313,55,1148,red,FALSE,FALSE,"[24, 2, 5, 8, 14, 22]","['y', 'b', 'b', 'b', 'b', 'b']",1,0,2,5,0,0,2,0,1,2,3,"26mihirk (1072)","Only picked up cubes from ground and chute. 3 bot endgame. "
314,55,7777,red,FALSE,FALSE,"[27]","['b']",0,0,2,8,0,48,2,0,0,2,0,"26alberty (1072)","- rookie bot, can't rlly expect much\n- inputs aren't that smooth either; not good that def either\n- bit delayed and stuff, can't necessarily say bad driver\n- their rating is hell inflated\n- can't rlly do much tbh, input placement\n- climb isn't bad though"
